gene,log2FC_BaP_vs_Control,welch_p,n_bap,n_control,BH_p
Rtp2,0.1526053645,0.007101393876839859,4,4,0.7515804298960805
Bcat2,-0.12788879850000034,0.007114483139314641,4,4,0.7515804298960805
Hoxa3,-0.46042508100000035,0.0071872206922983925,4,4,0.7515804298960805
Etf1,0.21245431474999998,0.007204097214490953,4,4,0.7515804298960805
Gm29357,0.16361892025000002,0.007228573262711466,4,4,0.7515804298960805
Lce1j,-0.2440803185,0.007231755941165382,4,4,0.7515804298960805
Gm70253,0.23710806750000002,0.007245090452637645,4,4,0.7515804298960805
Gm28694,0.23710806750000002,0.007245090452637645,4,4,0.7515804298960805
Garin1b,-0.17620868149999996,0.007250564156012599,4,4,0.7515804298960805
Spty2d1,0.07602635837500016,0.007265577280185224,4,4,0.7515804298960805
Ube2b,-0.20506474400000008,0.007301931741785601,4,4,0.7515804298960805
Myo15a,-0.23990614099999996,0.007331071197878065,4,4,0.7515804298960805
Gm54757,-0.11748753750000004,0.007333705369567475,4,4,0.7515804298960805
Gm49975,-0.11748753750000004,0.007333705369567475,4,4,0.7515804298960805
Hhatl,0.6392203609999996,0.00739888038780167,4,4,0.7515804298960805
Kif22,-0.3406373972500001,0.007401084678432955,4,4,0.7515804298960805
Usp2,0.5740569237500002,0.007409923442203552,4,4,0.7515804298960805
Dnajb1,-0.39589592025000003,0.007441948352638685,4,4,0.7515804298960805
Ube2e3,0.09848348800000029,0.007451979381407837,4,4,0.7515804298960805
Ntrk1,-0.23649087174999997,0.007458462974786081,4,4,0.7515804298960805
Or2a54,-0.15990711374999994,0.007507544561506877,4,4,0.7515804298960805
Gpat4,-0.09039640725000002,0.0075116986692923176,4,4,0.7515804298960805
Mrpl39,0.16392787749999982,0.007574721234890321,4,4,0.7515804298960805
Mphosph6,0.2227363465000003,0.007631378572255949,4,4,0.7515804298960805
Maco1,0.1801051067499999,0.007651415671336366,4,4,0.7515804298960805
Inka1,0.47612940600000003,0.007729263024149589,4,4,0.7515804298960805
Park7,0.141660456,0.007747414770995491,4,4,0.7515804298960805
Emg1,0.14673455574999994,0.0077748605954472945,4,4,0.7515804298960805
Aoc1l1,0.4266005332499999,0.007780018736756688,4,4,0.7515804298960805
Tspan2,0.6637498919999993,0.007847260997605552,4,4,0.7515804298960805
Qki,0.15844963075000001,0.007925622915874042,4,4,0.7515804298960805
Eif2a,0.27753408200000007,0.007926809711706565,4,4,0.7515804298960805
Ankrd1,-0.3535442622499998,0.00805342670537666,4,4,0.7515804298960805
Cyp27a1,0.13508401174999998,0.00809611118882498,4,4,0.7515804298960805
Fam177a,0.3544213843749999,0.008100514475859704,4,4,0.7515804298960805
Fam177a2,0.3544213843749999,0.008100514475859704,4,4,0.7515804298960805
Bdh1,0.25497549875000036,0.008184526151101944,4,4,0.7515804298960805
Il1rl1,-0.24734193850000086,0.008219190516597776,4,4,0.7515804298960805
Hace1,-0.18762355787500007,0.008247789195537453,4,4,0.7515804298960805
Alox12,0.23128072325,0.008263783534897212,4,4,0.7515804298960805
